Gene	Non-unique Gene name	Annotation
group_5046		hypothetical protein
group_5047		hypothetical protein
group_5051		hypothetical protein
group_5052	hin_3	DNA-invertase hin
group_5091		hypothetical protein
group_511		hypothetical protein
group_5112		hypothetical protein
group_5113		hypothetical protein
group_5130		hypothetical protein
group_5132	lytN_1	putative cell wall hydrolase LytN
group_5157		hypothetical protein
group_5171		hypothetical protein
group_5206		hypothetical protein
group_5208		hypothetical protein
group_5230		hypothetical protein
group_5278	cadC	Cadmium resistance transcriptional regulatory protein CadC
isdH_1		Iron-regulated surface determinant protein H
aprE		Subtilisin E
aadK		Aminoglycoside 6-adenylyltransferase
group_5672		hypothetical protein
group_5673		hypothetical protein
group_5674		hypothetical protein
group_5677		hypothetical protein
group_5681		hypothetical protein
group_5682		hypothetical protein
group_5683		hypothetical protein
group_5684		Staphylocoagulase
group_5689		hypothetical protein
group_5692		hypothetical protein
group_5693		hypothetical protein
group_5694		hypothetical protein
uvrA_2		UvrABC system protein A
group_5701		hypothetical protein
group_5702		hypothetical protein
group_5703		hypothetical protein
ido		L-isoleucine-4-hydroxylase
group_5706		hypothetical protein
group_5707		hypothetical protein
group_5708		hypothetical protein
group_5710		hypothetical protein
group_5967	puuR	HTH-type transcriptional regulator PuuR
group_6071		tRNA-Ala(tgc)
group_638		hypothetical protein
group_6391	potA	Spermidine/putrescine import ATP-binding protein PotA
group_649	entS	hypothetical protein
group_697		hypothetical protein
group_742	radD	Putative DNA repair helicase RadD
group_753	hin_2	DNA-invertase hin
group_833		hypothetical protein
group_911		hypothetical protein
group_926		hypothetical protein
yezG_11		putative antitoxin YezG
group_1045		hypothetical protein
group_1053		hypothetical protein
group_1120		hypothetical protein
group_1290		hypothetical protein
group_131		hypothetical protein
group_1341		hypothetical protein
group_1425		hypothetical protein
group_1467		putative transcriptional regulatory protein
group_1491	suhB_2	Inositol-1-monophosphatase
group_1519		hypothetical protein
group_1570	trpB	Tryptophan synthase beta chain
group_169		hypothetical protein
group_1699		hypothetical protein
group_1702		hypothetical protein
group_1735		hypothetical protein
group_1760		hypothetical protein
bbp_2		hypothetical protein
group_1778		hypothetical protein
group_1802		hypothetical protein
group_1806	mleN_2	Malate-2H( )/Na( )-lactate antiporter
group_1826		hypothetical protein
group_1893	pheT_2	Phenylalanine--tRNA ligase beta subunit
group_193		hypothetical protein
group_1943		hypothetical protein
group_1965	nrgA	Ammonium transporter NrgA
group_2016	miaB	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
group_2063		hypothetical protein
group_2074	hylB	Hyaluronate lyase
group_2096	phoB	Alkaline phosphatase 3
group_2097	aur	Zinc metalloproteinase aureolysin
group_2178		hypothetical protein
gloC		Hydroxyacylglutathione hydrolase GloC
group_2209		hypothetical protein
group_2286		hypothetical protein
group_2336		hypothetical protein
group_2349	gltB_2	Glutamate synthase [NADPH] large chain
group_2493	sdcS	Sodium-dependent dicarboxylate transporter SdcS
group_2504	scn_3	Staphylococcal complement inhibitor
group_2582	ptsG_2	PTS system glucose-specific EIICBA component
panS_2		Pantothenate precursors transporter PanS
group_287		hypothetical protein
group_2928	ulaA	hypothetical protein
group_3071		hypothetical protein
group_3078		hypothetical protein
group_3081		hypothetical protein
group_3082		hypothetical protein
group_3099		hypothetical protein
group_3169	ftsK_1	DNA translocase FtsK
group_3588		hypothetical protein
group_3595		hypothetical protein
group_3645		hypothetical protein
group_3770		hypothetical protein
group_3787		hypothetical protein
group_3800		hypothetical protein
group_3836		hypothetical protein
group_3888		hypothetical protein
group_3890		hypothetical protein
group_3891		hypothetical protein
mobA_1		Mobilization protein A
group_3893		hypothetical protein
merR1		Mercuric resistance operon regulatory protein
garB		Glutathione amide reductase
group_3909		hypothetical protein
group_3919		hypothetical protein
group_3942		hypothetical protein
group_3948		hypothetical protein
group_3957		hypothetical protein
group_3960		hypothetical protein
tetM		Tetracycline resistance protein TetM from transposon TnFO1
group_3974		hypothetical protein
group_3975		hypothetical protein
group_3977		hypothetical protein
group_3978		hypothetical protein
group_3979		hypothetical protein
group_3980		hypothetical protein
group_3981		hypothetical protein
group_3982		hypothetical protein
entH		Enterotoxin type H
group_4031		hypothetical protein
group_4037		hypothetical protein
group_4039	xerD_2	Tyrosine recombinase XerD
group_4114		hypothetical protein
group_418		hypothetical protein
group_4246		hypothetical protein
group_4296		hypothetical protein
group_4332		hypothetical protein
group_44	ebhA	Extracellular matrix-binding protein EbhA
group_4690		hypothetical protein
group_4718		hypothetical protein
group_4911		hypothetical protein
group_5		hypothetical protein
merB		Alkylmercury lyase
merA		Mercuric reductase
group_5088		hypothetical protein
group_5089		hypothetical protein
group_5090		hypothetical protein
group_5123		hypothetical protein
pezA		Antitoxin PezA
group_517		hypothetical protein
group_5170		hypothetical protein
group_5183		hypothetical protein
group_5280		hypothetical protein
group_5281		hypothetical protein
group_5321		N-acetylmuramoyl-L-alanine amidase domain-containing protein
group_5323		hypothetical protein
group_5324		hypothetical protein
group_5325		hypothetical protein
group_5346		hypothetical protein
group_5382	flr	FPRL1 inhibitory protein
group_5391		hypothetical protein
group_5392		hypothetical protein
group_5420		hypothetical protein
group_5583		hypothetical protein
group_5622		hypothetical protein
group_5624		hypothetical protein
group_563	bin3	Putative transposon Tn552 DNA-invertase bin3
group_5675		hypothetical protein
group_5678		hypothetical protein
group_5679		hypothetical protein
group_5680		hypothetical protein
group_5690		hypothetical protein
cspLA_2		Cold shock-like protein CspLA
group_5747		hypothetical protein
group_5748		hypothetical protein
group_5752		hypothetical protein
group_5834		hypothetical protein
group_6		hypothetical protein
group_62		hypothetical protein
group_64		hypothetical protein
group_652	blaZ	Beta-lactamase
group_70		hypothetical protein
group_711	yxlF_1	putative ABC transporter ATP-binding protein YxlF
group_720	rhaS	hypothetical protein
group_776		hypothetical protein
group_813		hypothetical protein
group_838		hypothetical protein
group_841		hypothetical protein
group_920		hypothetical protein
group_95	yezG_4	putative antitoxin YezG
group_950		hypothetical protein
group_993		hypothetical protein
group_1070	kdpA	Potassium-transporting ATPase potassium-binding subunit
group_1139		hypothetical protein
group_1176	tagX	Putative glycosyltransferase TagX
group_1189		hypothetical protein
group_1317	abgB	hypothetical protein
group_1338		hypothetical protein
group_1354	dnaC_1	DNA replication protein DnaC
group_1362	tst_2	Toxic shock syndrome toxin-1
group_1394		hypothetical protein
group_1405		hypothetical protein
group_1439		hypothetical protein
group_1442		hypothetical protein
group_1465	dhaK	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
group_1531	nfrA	NADPH-dependent oxidoreductase
group_157		hypothetical protein
group_161		hypothetical protein
group_164		hypothetical protein
group_1698		hypothetical protein
group_170		hypothetical protein
group_1701		hypothetical protein
group_1717	chp	Chemotaxis inhibitory protein
group_1777		hypothetical protein
group_18		hypothetical protein
group_1800		hypothetical protein
group_1810		hypothetical protein
group_187		hypothetical protein
group_2		hypothetical protein
group_20	sdrE	Serine-aspartate repeat-containing protein E
group_2080		putative membrane protein
group_2086	yicL	putative inner membrane transporter YicL
yghA_1		putative oxidoreductase YghA
group_2179		hypothetical protein
group_2194		hypothetical protein
group_2196		hypothetical protein
group_223		hypothetical protein
group_2262	epsJ	putative glycosyltransferase EpsJ
group_2271		hypothetical protein
group_2303		hypothetical protein
group_2312		hypothetical protein
group_2333		hypothetical protein
group_2335		hypothetical protein
group_241		hypothetical protein
group_2416		hypothetical protein
group_2480		hypothetical protein
group_2665	prmA	Ribosomal protein L11 methyltransferase
group_2675	ruvB	Holliday junction ATP-dependent DNA helicase RuvB
group_2763	bceA_1	Bacitracin export ATP-binding protein BceA
group_2901	yhfP	Putative quinone oxidoreductase YhfP
group_2909	mpr	Extracellular metalloprotease
tuaG		Putative teichuronic acid biosynthesis glycosyltransferase TuaG
group_2922	tuaG	Putative teichuronic acid biosynthesis glycosyltransferase TuaG
group_2941		hypothetical protein
group_3016		hypothetical protein
group_3038		hypothetical protein
group_3058	fhuD_1	Iron(3 )-hydroxamate-binding protein FhuD
group_3072		hypothetical protein
group_3077		hypothetical protein
group_3079		hypothetical protein
group_3122		hypothetical protein
splB_2		Serine protease SplB
ppaX_1		Pyrophosphatase PpaX
group_3144		putative lipoprotein
group_3150	lexA_2	LexA repressor
group_3159		hypothetical protein
group_316		hypothetical protein
group_3190	sle1_1	N-acetylmuramoyl-L-alanine amidase sle1
group_325		hypothetical protein
group_3254		hypothetical protein
group_326		hypothetical protein
group_3587		hypothetical protein
group_3589		hypothetical protein
group_3590		hypothetical protein
group_3642		hypothetical protein
group_3648		hypothetical protein
group_3698		hypothetical protein
group_3786	entB	Enterotoxin type B
group_3788		hypothetical protein
group_379		hypothetical protein
ssb		Single-stranded DNA-binding protein
group_388		hypothetical protein
group_3889		hypothetical protein
group_3896		hypothetical protein
group_3913		hypothetical protein
group_3915		hypothetical protein
group_3953		hypothetical protein
group_3962	ssbA_3	Single-stranded DNA-binding protein A
group_3964		hypothetical protein
group_3965		hypothetical protein
group_3971		hypothetical protein
group_3983		hypothetical protein
group_3991		hypothetical protein
group_3995		hypothetical protein
group_3996	prtR	HTH-type transcriptional regulator PrtR
group_3997		hypothetical protein
group_4005		hypothetical protein
group_4010		hypothetical protein
group_4050		hypothetical protein
group_4053		hypothetical protein
group_4066		hypothetical protein
group_4155	paiB	Protease synthase and sporulation protein PAI 2
group_423		hypothetical protein
group_4298		hypothetical protein
group_4357		hypothetical protein
group_4398		hypothetical protein
group_4462		hypothetical protein
group_4490		hypothetical protein
group_464		hypothetical protein
group_47	ebh_2	Extracellular matrix-binding protein ebh
group_481	mepM_1	hypothetical protein
group_485	yezG_6	putative antitoxin YezG
group_4903		hypothetical protein
group_4906		hypothetical protein
group_4910		hypothetical protein
group_5076		hypothetical protein
group_5077		hypothetical protein
group_5079	polC_2	DNA polymerase III PolC-type
group_5080	lexA_1	LexA repressor
group_5081		hypothetical protein
group_5094		hypothetical protein
group_5150	hin_1	DNA-invertase hin
group_5213		hypothetical protein
group_5244		hypothetical protein
group_525		hypothetical protein
secB		Protein-export protein SecB
group_5335		hypothetical protein
group_5336		hypothetical protein
group_5406		hypothetical protein
yraA_2		Putative cysteine protease YraA
group_5423		3-hexulose-6-phosphate synthase
hxlR		HTH-type transcriptional activator HxlR
group_5483		hypothetical protein
group_5484		hypothetical protein
mco		Multicopper oxidase mco
group_5486	copB	Copper-exporting P-type ATPase B
group_5487		hypothetical protein
cysL		HTH-type transcriptional regulator CysL
group_5489		hypothetical protein
group_5490		hypothetical protein
group_5557	dprA	DNA processing protein DprA
group_5623		hypothetical protein
group_5691		hypothetical protein
group_5696	murF_1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
group_5736	yezG_7	putative antitoxin YezG
group_5743		hypothetical protein
group_5744		hypothetical protein
group_5745		hypothetical protein
group_5746		hypothetical protein
group_5753		hypothetical protein
group_5754		hypothetical protein
group_6072		tRNA-Ala(tgc)
group_620		hypothetical protein
group_621		hypothetical protein
group_624		hypothetical protein
group_631	fic	Adenosine monophosphate-protein transferase SoFic
group_6334		tRNA-Pro(tgg)
group_654		hypothetical protein
group_6802	yflS	Putative malate transporter YflS
group_71		hypothetical protein
group_734	paiA	Spermidine/spermine N(1)-acetyltransferase
group_749		hypothetical protein
group_751	hin_2	DNA-invertase hin
group_756	hin_1	DNA-invertase hin
smc_5		Glycyl-glycine endopeptidase ALE-1
group_794		hypothetical protein
group_801		hypothetical protein
group_856		hypothetical protein
